excruciating                                                극심한
fallow                                                      미개발의
expedient                                                   편의적인/처방

reconciliation                                              화해
entrepreneur                                                사업가
accountable                                                 책임이 있는
wreath                                                      화환
laid(과거lay)                                               놓다 
settling                                                    해결
disagreement                                                의견충돌/다툼
mourn                                                       애도하다
Mass shooting                                               대규모 총격사건
extricate                                                   벗어나게 하다
exuberant                                                   풍부한

exhilarating                                                상쾌한
exalt                                                       높이 평가하다
excel                                                       뛰어나다
exacerbate                                                  악화시키다
exceptional                                                 예외적인
exponent                                                    지수
fallacy                                                     오류
farce                                                       희극
